NDB_NO,SHRT_DESC,WATER_G,ENERG_KCAL,PROTEIN_G,LIPID_TOT_G,ASH_G,CARBOHYDRT_G,FIBER_TD_G,SUGAR_TOT_G,CALCIUM_MG,IRON_MG,MAGNESIUM_MG,PHOSPHORUS_MG,POTASSIUM_MG,SODIUM_MG,ZINC_MG,COPPER_MG,MANGANESE_MG,SELENIUM_ΜG,VIT_C_MG,THIAMIN_MG,RIBOFLAVIN_MG,NIACIN_MG,PANTO_ACID_MG,VIT_B6_MG,FOLATE_TOT_ΜG,FOLIC_ACID_ΜG,FOOD_FOLATE_ΜG,FOLATE_DFE_ΜG,CHOLINE_TOT__MG,VIT_B12_ΜG,VIT_A_IU,VIT_A_RAE,RETINOL_ΜG,ALPHA_CAROT_ΜG,BETA_CAROT_ΜG,BETA_CRYPT_ΜG,LYCOPENE_ΜG,LUT_ZEA__ΜG,VIT_E_MG,VIT_D_ΜG,VIT_D_IU,VIT_K_ΜG,FA_SAT_G,FA_MONO_G,FA_POLY_G,CHOLESTRL_MG,GMWT_1,GMWT_DESC1,GMWT_2,GMWT_DESC2,REFUSE_PCT
01059,2% milk,87.67,63,3.33,3.46,0.8,4.74,0,,128,0.05,13,97,139,57,0.36,0.01,0.002,2,0.9,0.03,0.123,0.087,0.301,0.04,5,0,5,5,,0.34,7,2,2,,,,,,,,,,0.768,1.783,0.75,2,244,1 cup,976,1 quart,0
15155,abalone,74.56,105,17.1,0.76,1.57,6.01,0,0,31,3.19,48,190,250,301,0.82,0.196,0.04,44.8,2,0.19,0.1,1.5,3,0.15,5,0,5,5,65,0.73,7,2,2,0,0,0,0,0,4,0,0,23,0.149,0.107,0.104,85,85,3 oz,,,0
09427,abiyuch,79.9,69,1.5,0.1,0.9,17.6,5.3,8.55,8,1.61,24,47,304,20,0.31,0.057,0.182,,54.1,,,,,,,,,,,,100,5,0,0,60,,,,,,,,0.014,,,,114,.5 cup,,,
09001,acerola,91.41,32,0.4,0.3,0.2,7.69,1.1,,12,0.2,18,11,146,7,0.1,0.086,,0.6,1677.6,0.02,0.06,0.4,0.309,0.009,14,0,14,14,,0,767,38,0,,,,,,,,,,0.068,0.082,0.09,0,98,1 cup,4.8,"1 fruit, without refuse",20
09002,acerola juice,94.3,23,0.4,0.3,0.2,4.8,0.3,4.5,10,0.5,12,9,97,3,0.1,0.086,,0.1,1600,0.02,0.06,0.4,0.205,0.004,14,0,14,14,,0,509,25,0,0,305,0,0,17,0.18,,,1.4,0.068,0.082,0.09,0,242,1 cup,30.2,1 fl oz,0
12060,acorn flour,6,501,7.49,30.17,1.69,54.65,,,43,1.21,110,103,712,0,0.64,0.611,1.743,,0,0.146,0.154,2.382,0.931,0.688,114,0,114,114,,0,51,3,0,,,,,,,,,,3.923,19.11,5.813,0,28.35,1 oz,,,0
35182,acorn stew,79.78,95,6.81,3.47,0.72,9.22,0.7,0.34,14,1,12,62,110,130,1.6,0.03,0.14,8.3,0,0.175,0.125,2.14,0.212,0.055,33,15,18,44,,0.68,0,0,0,,,,,,0.3,,,0,1.28,1.68,0.297,20,,,,,0
12058,acorns,27.9,387,6.15,23.86,1.35,40.75,,,41,0.79,62,79,539,0,0.51,0.621,1.337,,0,0.112,0.118,1.827,0.715,0.528,87,0,87,87,,0,39,2,0,,,,,,,,,,3.102,15.109,4.596,0,28.35,1 oz,,,38
35192,agave,81.83,68,0.52,0.15,1.27,16.23,6.6,2.58,417,1.8,55,7,127,14,0.15,0.138,0.094,0.4,4,0.029,0.039,0.162,0.041,0.055,7,0,7,7,,0,37,2,0,0,22,0,0,,0.23,0,0,5.3,,,,0,,,,,0
35001,agutuk,47.3,353,3.4,31.8,4.1,13.4,0.5,,8,0.3,7,46,70,21,0.18,0.03,0.13,,2.9,0.04,0.05,0.55,0.02,0.01,3,,3,,,,696,,,,,,,,2.36,,,,7.7,14.4,8.4,10,,,,,0
